,open,high,low,close,volume
2022-11-10,0.98387,0.98992,0.96246,0.9632,0
2022-11-11,0.9635,0.96819,0.9394,0.94088,0
2022-11-14,0.94199,0.94892,0.94,0.94296,0
2022-11-15,0.94269,0.94755,0.9354,0.94365,0
2022-11-16,0.9434,0.94697,0.9381,0.94444,0
2022-11-17,0.94373,0.95574,0.9428,0.95138,0
2022-11-18,0.95155,0.95492,0.9495,0.95432,0
2022-11-21,0.9533,0.95986,0.95231,0.95816,0
2022-11-22,0.95821,0.95901,0.9506,0.95132,0
2022-11-23,0.95193,0.95334,0.9409,0.94256,0
2022-11-24,0.94232,0.94457,0.9382,0.94311,0
2022-11-25,0.943,0.95,0.94161,0.94593,0
2022-11-28,0.94593,0.9498,0.9401,0.94883,0
2022-11-29,0.94878,0.95455,0.9455,0.95304,0
2022-11-30,0.95343,0.95474,0.9428,0.94514,0
2022-12-01,0.9456,0.94605,0.93609,0.9367,0
2022-12-02,0.9368,0.94395,0.932,0.93649,0
2022-12-05,0.93807,0.94354,0.9325,0.94237,0
2022-12-06,0.94219,0.94558,0.9376,0.94141,0
2022-12-07,0.94188,0.94377,0.9359,0.94073,0
2022-12-08,0.9405,0.94267,0.934,0.93625,0
2022-12-09,0.93626,0.93819,0.9309,0.93307,0
2022-12-12,0.93369,0.938,0.9307,0.93612,0
2022-12-13,0.93601,0.9375,0.9229,0.92846,0
2022-12-14,0.9286,0.92974,0.92079,0.92443,0
2022-12-15,0.92417,0.93172,0.92244,0.92803,0
2022-12-16,0.9275,0.9343,0.9248,0.93393,0
2022-12-19,0.9325,0.9348,0.92787,0.9285,0
2022-12-20,0.92855,0.93074,0.9237,0.92576,0
2022-12-21,0.92571,0.92894,0.9233,0.9265,0
2022-12-22,0.92671,0.93214,0.9222,0.93104,0
2022-12-23,0.93092,0.93447,0.9279,0.93282,0
2022-12-26,0.9332,0.93413,0.9304,0.932,0
2022-12-27,0.9308,0.933,0.9266,0.9286,0
2022-12-28,0.9286,0.93071,0.924,0.92867,0
2022-12-29,0.9283,0.9288,0.9205,0.92305,0
2022-12-30,0.92261,0.92684,0.9197,0.92427,0
2023-01-02,0.92438,0.9277,0.92105,0.92553,0
2023-01-03,0.92534,0.93986,0.92243,0.93607,0
2023-01-04,0.93609,0.9372,0.925,0.92943,0
2023-01-05,0.92927,0.93778,0.9255,0.93594,0
2023-01-06,0.93583,0.9409,0.9267,0.92752,0
2023-01-09,0.92757,0.9284,0.9161,0.92109,0
2023-01-10,0.921,0.92522,0.9189,0.9227,0
2023-01-11,0.92188,0.93319,0.92,0.93081,0
